" Copy", " Копіювати"
"Add Store Code to Urls","Додати код магазину до URL-адрес"
"Add Subcategory","Додати підкатегорію"
"Add Swatch","Додати зразок кольору або текстури"
"Add Tax","Додати податок"
"Add To Cart","Додати до кошика"
"Add To Compare","Додати до порівняння"
"Add To Order","Додати до замовлення"
"Add Tracking Number","Додати номер відстеження"
"Add URL Rewrite","Додати URL-перенаправлення"
"Add URL Rewrite for CMS page","Додати URL-перенаправлення для CMS-сторінки"
"Add URL Rewrite for a Category","Додати URL-перенаправлення для категорії"
"Add URL Rewrite for a Product","Додати URL-перенаправлення для товару"
"Add Up-Sell Products","Додати товари для додаткового продажу (Up-Sell)"
"Add Value","Додати значення"
"Add Video","Додати відео"
"Add Widget","Додати віджет"
"Add Your Review","Додати свій відгук"
"Add \Exception","Додати \Exception"
"Add after","Додати після"
"Add another payment method to your existing solution or as a stand-alone option.","Додати інший спосіб оплати до вашої поточної системи або як окремий варіант."
"Add configurable attributes to the current Attribute Set","Додати конфігуровані атрибути до поточного набору атрибутів"
"Add configurable attributes to the current Attribute Set (""%1"")","Додати конфігуровані атрибути до поточного набору атрибутів (""%1"")"
"Add configurable attributes to the existing Attribute Set","Додати конфігуровані атрибути до наявного набору атрибутів"
"Add configurable attributes to the new Attribute Set based on current","Додати конфігуровані атрибути до нового набору атрибутів на основі поточного"
